student_id,name,subject,internal_marks,external_marks,total_score,grade,attendance_percentage,passed,subject_interest_level,needs_support_in_subject,peer_help_provided,semester_gpa
1,Riya Srinivasan,Mathematics-I,11,40,51,D,61,Yes,5,No,Yes,8.23
1,Riya Srinivasan,Programming in C,21,50,71,B,77,Yes,3,Yes,Yes,8.23
1,Riya Srinivasan,Engineering Physics,17,41,58,C,72,Yes,3,No,Yes,8.23
1,Riya Srinivasan,English Communication,13,22,35,F,63,No,5,Yes,No,8.23
1,Riya Srinivasan,Basic Electronics,26,44,70,B,64,Yes,1,Yes,No,8.23
2,Myra Boase,Mathematics-I,27,27,54,D,82,Yes,2,No,Yes,7.27
2,Myra Boase,Programming in C,23,29,52,D,80,Yes,2,Yes,Yes,7.27
2,Myra Boase,Engineering Physics,15,50,65,C,79,Yes,4,No,No,7.27
2,Myra Boase,English Communication,21,28,49,D,67,Yes,2,No,No,7.27
2,Myra Boase,Basic Electronics,15,42,57,C,70,Yes,2,No,Yes,7.27
3,Aaryahi Dalal,Mathematics-I,18,60,78,B,93,Yes,2,No,Yes,5.48
3,Aaryahi Dalal,Programming in C,21,62,83,B,65,Yes,2,Yes,No,5.48
3,Aaryahi Dalal,Engineering Physics,30,70,100,A,93,Yes,1,Yes,No,5.48
3,Aaryahi Dalal,English Communication,22,51,73,B,80,Yes,2,No,No,5.48
3,Aaryahi Dalal,Basic Electronics,12,64,76,B,64,Yes,4,No,Yes,5.48
4,Kashvi Handa,Mathematics-I,19,34,53,D,95,Yes,4,No,Yes,5.69
4,Kashvi Handa,Programming in C,22,43,65,C,86,Yes,3,No,Yes,5.69
4,Kashvi Handa,Engineering Physics,30,35,65,C,85,Yes,3,No,No,5.69
4,Kashvi Handa,English Communication,17,37,54,D,62,Yes,2,Yes,No,5.69
4,Kashvi Handa,Basic Electronics,19,57,76,B,62,Yes,5,No,No,5.69
5,Yashvi Garg,Mathematics-I,18,55,73,B,71,Yes,4,No,Yes,8.82
5,Yashvi Garg,Programming in C,18,20,38,F,82,No,5,Yes,No,8.82
5,Yashvi Garg,Engineering Physics,27,67,94,A,63,Yes,3,Yes,No,8.82
5,Yashvi Garg,English Communication,25,65,90,A,92,Yes,3,Yes,Yes,8.82
5,Yashvi Garg,Basic Electronics,13,65,78,B,72,Yes,1,No,Yes,8.82
6,Shalv Johal,Mathematics-I,11,33,44,D,63,Yes,1,Yes,Yes,9.82
6,Shalv Johal,Programming in C,15,56,71,B,82,Yes,3,No,No,9.82
6,Shalv Johal,Engineering Physics,20,53,73,B,77,Yes,4,Yes,No,9.82
6,Shalv Johal,English Communication,16,49,65,C,79,Yes,1,Yes,No,9.82
6,Shalv Johal,Basic Electronics,25,42,67,C,72,Yes,5,Yes,Yes,9.82
7,Vritika De,Mathematics-I,19,38,57,C,100,Yes,5,No,No,8.95
7,Vritika De,Programming in C,12,47,59,C,75,Yes,3,No,Yes,8.95
7,Vritika De,Engineering Physics,17,67,84,B,79,Yes,2,No,No,8.95
7,Vritika De,English Communication,10,31,41,D,67,Yes,5,No,No,8.95
7,Vritika De,Basic Electronics,16,62,78,B,67,Yes,1,Yes,No,8.95
8,Lagan Chokshi,Mathematics-I,23,55,78,B,93,Yes,2,Yes,Yes,7.65
8,Lagan Chokshi,Programming in C,16,39,55,C,92,Yes,4,Yes,No,7.65
8,Lagan Chokshi,Engineering Physics,24,53,77,B,65,Yes,4,No,No,7.65
8,Lagan Chokshi,English Communication,15,59,74,B,90,Yes,3,No,Yes,7.65
8,Lagan Chokshi,Basic Electronics,26,36,62,C,67,Yes,1,No,Yes,7.65
9,Manjari Tank,Mathematics-I,25,32,57,C,80,Yes,5,No,Yes,8.58
9,Manjari Tank,Programming in C,11,44,55,C,60,Yes,4,Yes,No,8.58
9,Manjari Tank,Engineering Physics,15,57,72,B,68,Yes,2,No,Yes,8.58
9,Manjari Tank,English Communication,20,33,53,D,73,Yes,5,No,No,8.58
9,Manjari Tank,Basic Electronics,27,68,95,A,73,Yes,5,No,No,8.58
10,Adira Suresh,Mathematics-I,24,53,77,B,96,Yes,1,No,Yes,9.43
10,Adira Suresh,Programming in C,15,31,46,D,64,Yes,4,No,Yes,9.43
10,Adira Suresh,Engineering Physics,11,31,42,D,93,Yes,1,No,Yes,9.43
10,Adira Suresh,English Communication,28,60,88,A,72,Yes,2,No,Yes,9.43
10,Adira Suresh,Basic Electronics,27,60,87,A,95,Yes,4,Yes,No,9.43
11,Nishith Saran,Mathematics-I,28,31,59,C,89,Yes,5,Yes,No,8.24
11,Nishith Saran,Programming in C,22,67,89,A,99,Yes,5,Yes,No,8.24
11,Nishith Saran,Engineering Physics,24,56,80,B,93,Yes,5,No,No,8.24
11,Nishith Saran,English Communication,10,34,44,D,74,Yes,2,Yes,No,8.24
11,Nishith Saran,Basic Electronics,23,35,58,C,95,Yes,3,Yes,No,8.24
12,Madhup Sharma,Mathematics-I,13,24,37,F,85,No,5,Yes,Yes,6.24
12,Madhup Sharma,Programming in C,30,26,56,C,80,Yes,5,No,Yes,6.24
12,Madhup Sharma,Engineering Physics,25,41,66,C,65,Yes,3,Yes,No,6.24
12,Madhup Sharma,English Communication,19,25,44,D,88,Yes,4,No,Yes,6.24
12,Madhup Sharma,Basic Electronics,14,67,81,B,89,Yes,5,No,No,6.24
13,Nayantara Bhagat,Mathematics-I,10,22,32,F,96,No,2,No,Yes,8.52
13,Nayantara Bhagat,Programming in C,24,59,83,B,94,Yes,1,No,No,8.52
13,Nayantara Bhagat,Engineering Physics,19,66,85,A,67,Yes,2,Yes,Yes,8.52
13,Nayantara Bhagat,English Communication,17,56,73,B,80,Yes,4,Yes,Yes,8.52
13,Nayantara Bhagat,Basic Electronics,21,58,79,B,78,Yes,5,No,No,8.52
14,Lakshay Sami,Mathematics-I,11,48,59,C,96,Yes,4,No,Yes,6.47
14,Lakshay Sami,Programming in C,20,26,46,D,87,Yes,3,No,No,6.47
14,Lakshay Sami,Engineering Physics,30,46,76,B,79,Yes,5,No,No,6.47
14,Lakshay Sami,English Communication,16,36,52,D,86,Yes,2,No,Yes,6.47
14,Lakshay Sami,Basic Electronics,29,52,81,B,65,Yes,5,No,No,6.47
15,Ivana Saran,Mathematics-I,23,24,47,D,77,Yes,5,Yes,No,6.06
15,Ivana Saran,Programming in C,22,21,43,D,86,Yes,4,No,Yes,6.06
15,Ivana Saran,Engineering Physics,10,46,56,C,64,Yes,1,Yes,No,6.06
15,Ivana Saran,English Communication,21,46,67,C,75,Yes,3,Yes,No,6.06
15,Ivana Saran,Basic Electronics,12,26,38,F,68,No,5,Yes,No,6.06
