student_id,name,subject,internal_marks,external_marks,total_score,grade,attendance_percentage,passed,subject_interest_level,needs_support_in_subject,peer_help_provided,semester_gpa
1,Riya Srinivasan,Mathematics-II,28,29,57,C,97,Yes,4,Yes,No,8.59
1,Riya Srinivasan,Data Structures,30,23,53,D,68,Yes,2,Yes,Yes,8.59
1,Riya Srinivasan,Digital Logic Design,20,52,72,B,86,Yes,4,No,No,8.59
1,Riya Srinivasan,Environmental Studies,22,52,74,B,74,Yes,2,No,Yes,8.59
1,Riya Srinivasan,Professional Communication,12,50,62,C,99,Yes,1,No,No,8.59
2,Myra Boase,Mathematics-II,19,47,66,C,65,Yes,4,No,Yes,5.52
2,Myra Boase,Data Structures,14,67,81,B,93,Yes,3,Yes,Yes,5.52
2,Myra Boase,Digital Logic Design,14,55,69,C,93,Yes,1,Yes,No,5.52
2,Myra Boase,Environmental Studies,14,65,79,B,71,Yes,4,No,No,5.52
2,Myra Boase,Professional Communication,24,50,74,B,70,Yes,5,Yes,Yes,5.52
3,Aaryahi Dalal,Mathematics-II,23,21,44,D,60,Yes,5,Yes,No,7.3
3,Aaryahi Dalal,Data Structures,21,34,55,C,93,Yes,5,Yes,No,7.3
3,Aaryahi Dalal,Digital Logic Design,14,26,40,D,77,Yes,2,Yes,Yes,7.3
3,Aaryahi Dalal,Environmental Studies,15,69,84,B,88,Yes,5,No,Yes,7.3
3,Aaryahi Dalal,Professional Communication,25,66,91,A,75,Yes,2,No,No,7.3
4,Kashvi Handa,Mathematics-II,24,51,75,B,89,Yes,3,Yes,No,5.92
4,Kashvi Handa,Data Structures,29,22,51,D,99,Yes,1,No,No,5.92
4,Kashvi Handa,Digital Logic Design,28,40,68,C,74,Yes,5,No,Yes,5.92
4,Kashvi Handa,Environmental Studies,25,28,53,D,76,Yes,3,No,Yes,5.92
4,Kashvi Handa,Professional Communication,20,55,75,B,64,Yes,3,Yes,No,5.92
5,Yashvi Garg,Mathematics-II,16,54,70,B,64,Yes,4,No,Yes,6.48
5,Yashvi Garg,Data Structures,23,35,58,C,71,Yes,4,No,No,6.48
5,Yashvi Garg,Digital Logic Design,27,68,95,A,84,Yes,1,No,Yes,6.48
5,Yashvi Garg,Environmental Studies,27,22,49,D,70,Yes,4,Yes,No,6.48
5,Yashvi Garg,Professional Communication,28,37,65,C,76,Yes,2,No,Yes,6.48
6,Shalv Johal,Mathematics-II,16,31,47,D,72,Yes,4,Yes,No,8.72
6,Shalv Johal,Data Structures,17,65,82,B,84,Yes,4,Yes,No,8.72
6,Shalv Johal,Digital Logic Design,21,33,54,D,62,Yes,4,No,Yes,8.72
6,Shalv Johal,Environmental Studies,18,43,61,C,68,Yes,4,No,No,8.72
6,Shalv Johal,Professional Communication,20,34,54,D,72,Yes,2,No,Yes,8.72
7,Vritika De,Mathematics-II,29,21,50,D,95,Yes,1,Yes,No,6.51
7,Vritika De,Data Structures,21,48,69,C,91,Yes,5,Yes,No,6.51
7,Vritika De,Digital Logic Design,30,21,51,D,83,Yes,1,No,No,6.51
7,Vritika De,Environmental Studies,17,34,51,D,62,Yes,4,No,Yes,6.51
7,Vritika De,Professional Communication,14,52,66,C,60,Yes,4,Yes,No,6.51
8,Lagan Chokshi,Mathematics-II,21,33,54,D,93,Yes,2,No,No,7.19
8,Lagan Chokshi,Data Structures,15,63,78,B,60,Yes,2,No,No,7.19
8,Lagan Chokshi,Digital Logic Design,25,63,88,A,88,Yes,2,No,Yes,7.19
8,Lagan Chokshi,Environmental Studies,16,61,77,B,70,Yes,5,Yes,Yes,7.19
8,Lagan Chokshi,Professional Communication,19,28,47,D,95,Yes,3,No,Yes,7.19
9,Manjari Tank,Mathematics-II,15,69,84,B,67,Yes,4,No,No,7.03
9,Manjari Tank,Data Structures,26,56,82,B,77,Yes,5,No,Yes,7.03
9,Manjari Tank,Digital Logic Design,25,31,56,C,75,Yes,3,Yes,Yes,7.03
9,Manjari Tank,Environmental Studies,26,51,77,B,81,Yes,4,No,No,7.03
9,Manjari Tank,Professional Communication,11,31,42,D,92,Yes,5,No,Yes,7.03
10,Adira Suresh,Mathematics-II,27,51,78,B,68,Yes,4,No,Yes,5.7
10,Adira Suresh,Data Structures,23,66,89,A,89,Yes,5,Yes,No,5.7
10,Adira Suresh,Digital Logic Design,28,41,69,C,74,Yes,1,No,Yes,5.7
10,Adira Suresh,Environmental Studies,26,36,62,C,88,Yes,4,No,No,5.7
10,Adira Suresh,Professional Communication,19,29,48,D,100,Yes,1,No,No,5.7
11,Nishith Saran,Mathematics-II,10,38,48,D,72,Yes,4,No,Yes,6.53
11,Nishith Saran,Data Structures,21,48,69,C,70,Yes,3,No,Yes,6.53
11,Nishith Saran,Digital Logic Design,16,44,60,C,88,Yes,5,No,No,6.53
11,Nishith Saran,Environmental Studies,21,35,56,C,76,Yes,2,No,No,6.53
11,Nishith Saran,Professional Communication,30,26,56,C,78,Yes,3,Yes,No,6.53
12,Madhup Sharma,Mathematics-II,18,40,58,C,85,Yes,2,No,Yes,7.6
12,Madhup Sharma,Data Structures,27,23,50,D,83,Yes,2,Yes,Yes,7.6
12,Madhup Sharma,Digital Logic Design,27,37,64,C,63,Yes,4,Yes,Yes,7.6
12,Madhup Sharma,Environmental Studies,23,46,69,C,71,Yes,3,Yes,Yes,7.6
12,Madhup Sharma,Professional Communication,28,44,72,B,96,Yes,2,No,No,7.6
13,Nayantara Bhagat,Mathematics-II,20,53,73,B,97,Yes,3,Yes,No,9.78
13,Nayantara Bhagat,Data Structures,27,36,63,C,83,Yes,4,Yes,No,9.78
13,Nayantara Bhagat,Digital Logic Design,23,32,55,C,95,Yes,3,No,No,9.78
13,Nayantara Bhagat,Environmental Studies,16,50,66,C,71,Yes,5,Yes,No,9.78
13,Nayantara Bhagat,Professional Communication,17,42,59,C,69,Yes,5,No,Yes,9.78
14,Lakshay Sami,Mathematics-II,25,46,71,B,80,Yes,3,Yes,Yes,6.67
14,Lakshay Sami,Data Structures,21,67,88,A,92,Yes,2,Yes,Yes,6.67
14,Lakshay Sami,Digital Logic Design,30,30,60,C,71,Yes,1,No,Yes,6.67
14,Lakshay Sami,Environmental Studies,20,45,65,C,87,Yes,3,No,No,6.67
14,Lakshay Sami,Professional Communication,13,49,62,C,76,Yes,4,Yes,Yes,6.67
15,Ivana Saran,Mathematics-II,29,64,93,A,77,Yes,5,Yes,No,6.45
15,Ivana Saran,Data Structures,25,64,89,A,97,Yes,3,No,Yes,6.45
